date,asset,is_live,is_tradeable,has_full_history_window
2015-01-05,SPY,True,True,True
2015-01-06,SPY,True,True,True
2015-01-07,SPY,True,True,True
2015-01-08,SPY,True,True,True
2015-01-09,SPY,True,True,True
2015-01-12,SPY,True,True,True
2015-01-13,SPY,True,True,True
2015-01-14,SPY,True,True,True
2015-01-15,SPY,True,True,True
2015-01-16,SPY,True,True,True
2015-01-20,SPY,True,True,True
2015-01-21,SPY,True,True,True
2015-01-22,SPY,True,True,True
2015-01-23,SPY,True,True,True
2015-01-26,SPY,True,True,True
2015-01-27,SPY,True,True,True
2015-01-28,SPY,True,True,True
2015-01-29,SPY,True,True,True
2015-01-30,SPY,True,True,True
2015-02-02,SPY,True,True,True
2015-02-03,SPY,True,True,True
2015-02-04,SPY,True,True,True
2015-02-05,SPY,True,True,True
2015-02-06,SPY,True,True,True
2015-02-09,SPY,True,True,True
2015-02-10,SPY,True,True,True
2015-02-11,SPY,True,True,True
2015-02-12,SPY,True,True,True
2015-02-13,SPY,True,True,True
2015-02-17,SPY,True,True,True
2015-02-18,SPY,True,True,True
2015-02-19,SPY,True,True,True
2015-02-20,SPY,True,True,True
2015-02-23,SPY,True,True,True
2015-02-24,SPY,True,True,True
2015-02-25,SPY,True,True,True
2015-02-26,SPY,True,True,True
2015-02-27,SPY,True,True,True
2015-03-02,SPY,True,True,True
2015-03-03,SPY,True,True,True
2015-03-04,SPY,True,True,True
2015-03-05,SPY,True,True,True
2015-03-06,SPY,True,True,True
2015-03-09,SPY,True,True,True
2015-03-10,SPY,True,True,True
2015-03-11,SPY,True,True,True
2015-03-12,SPY,True,True,True
2015-03-13,SPY,True,True,True
2015-03-16,SPY,True,True,True
2015-03-17,SPY,True,True,True
2015-03-18,SPY,True,True,True
2015-03-19,SPY,True,True,True
2015-03-20,SPY,True,True,True
2015-03-23,SPY,True,True,True
2015-03-24,SPY,True,True,True
2015-03-25,SPY,True,True,True
2015-03-26,SPY,True,True,True
2015-03-27,SPY,True,True,True
2015-03-30,SPY,True,True,True
2015-03-31,SPY,True,True,True
2015-04-01,SPY,True,True,True
2015-04-02,SPY,True,True,True
2015-04-06,SPY,True,True,True
2015-04-07,SPY,True,True,True
2015-04-08,SPY,True,True,True
2015-04-09,SPY,True,True,True
2015-04-10,SPY,True,True,True
2015-04-13,SPY,True,True,True
2015-04-14,SPY,True,True,True
2015-04-15,SPY,True,True,True
2015-04-16,SPY,True,True,True
2015-04-17,SPY,True,True,True
2015-04-20,SPY,True,True,True
2015-04-21,SPY,True,True,True
2015-04-22,SPY,True,True,True
2015-04-23,SPY,True,True,True
2015-04-24,SPY,True,True,True
2015-04-27,SPY,True,True,True
2015-04-28,SPY,True,True,True
2015-04-29,SPY,True,True,True
2015-04-30,SPY,True,True,True
2015-05-01,SPY,True,True,True
2015-05-04,SPY,True,True,True
