date,asset,weight,strategy
2013-01-31,DBC,0.1,EW
2013-02-28,DBC,0.1,EW
2013-03-28,DBC,0.1,EW
2013-04-30,DBC,0.1,EW
2013-05-31,DBC,0.1,EW
2013-06-28,DBC,0.1,EW
2013-07-31,DBC,0.1,EW
2013-08-30,DBC,0.1,EW
2013-09-30,DBC,0.1,EW
2013-10-31,DBC,0.1,EW
2013-11-29,DBC,0.1,EW
2013-12-31,DBC,0.1,EW
2014-01-31,DBC,0.1,EW
2014-02-28,DBC,0.1,EW
2014-03-31,DBC,0.1,EW
2014-04-30,DBC,0.1,EW
2014-05-30,DBC,0.1,EW
2014-06-30,DBC,0.1,EW
2014-07-31,DBC,0.1,EW
2014-08-29,DBC,0.1,EW
2014-09-30,DBC,0.1,EW
2014-10-31,DBC,0.1,EW
2014-11-28,DBC,0.1,EW
2014-12-31,DBC,0.1,EW
2015-01-30,DBC,0.1,EW
2015-02-27,DBC,0.1,EW
2015-03-31,DBC,0.1,EW
2015-04-30,DBC,0.1,EW
2015-05-29,DBC,0.1,EW
2015-06-30,DBC,0.1,EW
2015-07-31,DBC,0.1,EW
2015-08-31,DBC,0.1,EW
2015-09-30,DBC,0.1,EW
2015-10-30,DBC,0.1,EW
2015-11-30,DBC,0.1,EW
2015-12-31,DBC,0.1,EW
2016-01-29,DBC,0.1,EW
2016-02-29,DBC,0.1,EW
2016-03-31,DBC,0.1,EW
2016-04-29,DBC,0.1,EW
2016-05-31,DBC,0.1,EW
2016-06-30,DBC,0.1,EW
2016-07-29,DBC,0.1,EW
2016-08-31,DBC,0.1,EW
2016-09-30,DBC,0.1,EW
2016-10-31,DBC,0.1,EW
2016-11-30,DBC,0.1,EW
2016-12-30,DBC,0.1,EW
2017-01-31,DBC,0.1,EW
2017-02-28,DBC,0.1,EW
2017-03-31,DBC,0.1,EW
2017-04-28,DBC,0.1,EW
2017-05-31,DBC,0.1,EW
2017-06-30,DBC,0.1,EW
2017-07-31,DBC,0.1,EW
2017-08-31,DBC,0.1,EW
2017-09-29,DBC,0.1,EW
2017-10-31,DBC,0.1,EW
2017-11-30,DBC,0.1,EW
2017-12-29,DBC,0.1,EW
2018-01-31,DBC,0.1,EW
2018-02-28,DBC,0.1,EW
2018-03-29,DBC,0.1,EW
2018-04-30,DBC,0.1,EW
2018-05-31,DBC,0.1,EW
2018-06-29,DBC,0.1,EW
2018-07-31,DBC,0.1,EW
2018-08-31,DBC,0.1,EW
2018-09-28,DBC,0.1,EW
2018-10-31,DBC,0.1,EW
2018-11-30,DBC,0.1,EW
2018-12-31,DBC,0.1,EW
2019-01-31,DBC,0.1,EW
2019-02-28,DBC,0.1,EW
2019-03-29,DBC,0.1,EW
2019-04-30,DBC,0.1,EW
2019-05-31,DBC,0.1,EW
2019-06-28,DBC,0.1,EW
2019-07-31,DBC,0.1,EW
2019-08-30,DBC,0.1,EW
2019-09-30,DBC,0.1,EW
2019-10-31,DBC,0.1,EW
2019-11-29,DBC,0.1,EW
2019-12-31,DBC,0.1,EW
2020-01-31,DBC,0.1,EW
2020-02-28,DBC,0.1,EW
2020-03-31,DBC,0.1,EW
2020-04-30,DBC,0.1,EW
2020-05-29,DBC,0.1,EW
2020-06-30,DBC,0.1,EW
2020-07-31,DBC,0.1,EW
2020-08-31,DBC,0.1,EW
2020-09-30,DBC,0.1,EW
2020-10-30,DBC,0.1,EW
2020-11-30,DBC,0.1,EW
2020-12-31,DBC,0.1,EW
2021-01-29,DBC,0.1,EW
2021-02-26,DBC,0.1,EW
2021-03-31,DBC,0.1,EW
2021-04-30,DBC,0.1,EW
2021-05-28,DBC,0.1,EW
2021-06-30,DBC,0.1,EW
2021-07-30,DBC,0.1,EW
2021-08-31,DBC,0.1,EW
2021-09-30,DBC,0.1,EW
2021-10-29,DBC,0.1,EW
2021-11-30,DBC,0.1,EW
2021-12-31,DBC,0.1,EW
2022-01-31,DBC,0.1,EW
2022-02-28,DBC,0.1,EW
2022-03-31,DBC,0.1,EW
2022-04-29,DBC,0.1,EW
2022-05-31,DBC,0.1,EW
2022-06-30,DBC,0.1,EW
2022-07-29,DBC,0.1,EW
2022-08-31,DBC,0.1,EW
2022-09-30,DBC,0.1,EW
2022-10-31,DBC,0.1,EW
2022-11-30,DBC,0.1,EW
2022-12-30,DBC,0.1,EW
2023-01-31,DBC,0.1,EW
2023-02-28,DBC,0.1,EW
2023-03-31,DBC,0.1,EW
2023-04-28,DBC,0.1,EW
2023-05-31,DBC,0.1,EW
2023-06-30,DBC,0.1,EW
2023-07-31,DBC,0.1,EW
2023-08-31,DBC,0.1,EW
2023-09-29,DBC,0.1,EW
2023-10-31,DBC,0.1,EW
2023-11-30,DBC,0.1,EW
2023-12-29,DBC,0.1,EW
2024-01-31,DBC,0.1,EW
2024-02-29,DBC,0.1,EW
2024-03-28,DBC,0.1,EW
2024-04-30,DBC,0.1,EW
2024-05-31,DBC,0.1,EW
2024-06-28,DBC,0.1,EW
2024-07-31,DBC,0.1,EW
2024-08-30,DBC,0.1,EW
2024-09-30,DBC,0.1,EW
2024-10-31,DBC,0.1,EW
2024-11-29,DBC,0.1,EW
2024-12-31,DBC,0.1,EW
2025-01-31,DBC,0.1,EW
2025-02-28,DBC,0.1,EW
2025-03-31,DBC,0.1,EW
2025-04-30,DBC,0.1,EW
2025-05-30,DBC,0.1,EW
2025-06-30,DBC,0.1,EW
2025-07-31,DBC,0.1,EW
2025-08-29,DBC,0.1,EW
2025-09-30,DBC,0.1,EW
2025-10-31,DBC,0.1,EW
2025-11-28,DBC,0.1,EW
2013-01-31,EEM,0.1,EW
